,事件序号,事件起始编号,事件终止编号,事件开始时间,事件结束时间,洗浴时间点,总用水时长
0,1,3,3,2014-10-19 07:01:55,2014-10-19 07:01:57,7,2.0
1,2,57,57,2014-10-19 07:38:15,2014-10-19 07:38:17,7,2.0
2,3,382,385,2014-10-19 09:46:37,2014-10-19 09:47:16,9,39.0
3,4,405,405,2014-10-19 11:50:16,2014-10-19 11:50:18,11,2.0
4,5,408,408,2014-10-19 13:56:20,2014-10-19 13:56:22,13,2.0
5,6,411,594,2014-10-19 15:34:38,2014-10-19 15:48:47,15,849.0
6,7,613,619,2014-10-19 15:55:14,2014-10-19 15:55:30,15,16.0
7,8,660,766,2014-10-19 17:23:20,2014-10-19 17:34:37,17,677.0
8,9,773,923,2014-10-19 17:46:20,2014-10-19 17:55:05,17,525.0
9,10,1026,1135,2014-10-19 21:32:44,2014-10-19 21:42:02,21,558.0
10,11,1140,1140,2014-10-19 21:47:04,2014-10-19 21:47:06,21,2.0
11,12,1142,1144,2014-10-19 21:54:29,2014-10-19 21:54:39,21,10.0
12,13,1259,1259,2014-10-20 06:59:32,2014-10-20 06:59:34,6,2.0
13,14,1346,1425,2014-10-20 07:22:53,2014-10-20 07:38:49,7,956.0
14,15,1445,1446,2014-10-20 13:33:53,2014-10-20 13:33:57,13,4.0
15,16,1451,1461,2014-10-20 19:03:40,2014-10-20 19:04:10,19,30.0
16,17,1482,1533,2014-10-20 19:13:44,2014-10-20 19:17:52,19,248.0
17,18,1572,1633,2014-10-20 19:47:58,2014-10-20 19:53:36,19,338.0
18,19,1642,1642,2014-10-20 20:18:10,2014-10-20 20:18:12,20,2.0
19,20,1660,1761,2014-10-20 21:46:21,2014-10-20 21:55:12,21,531.0
20,21,1877,1877,2014-10-20 23:02:12,2014-10-20 23:02:14,23,2.0
21,22,1880,1880,2014-10-21 06:43:36,2014-10-21 06:43:38,6,2.0
22,23,1882,1884,2014-10-21 07:49:06,2014-10-21 07:49:14,7,8.0
23,24,2069,2208,2014-10-21 16:04:17,2014-10-21 16:14:14,16,597.0
24,25,2221,2382,2014-10-21 16:23:06,2014-10-21 16:41:12,16,1086.0
25,26,2386,2386,2014-10-21 17:37:53,2014-10-21 17:37:55,17,2.0
26,27,2452,2452,2014-10-21 18:37:56,2014-10-21 18:37:58,18,2.0
27,28,2455,2529,2014-10-21 18:49:41,2014-10-21 18:56:24,18,403.0
28,29,2534,2534,2014-10-21 19:01:42,2014-10-21 19:01:44,19,2.0
29,30,2547,2616,2014-10-21 19:50:01,2014-10-21 19:55:12,19,311.0
30,31,2719,2854,2014-10-21 21:36:21,2014-10-21 21:47:14,21,653.0
31,32,2904,2904,2014-10-21 22:14:52,2014-10-21 22:14:54,22,2.0
32,33,2906,2906,2014-10-21 22:24:46,2014-10-21 22:24:48,22,2.0
33,34,2908,2908,2014-10-21 22:45:40,2014-10-21 22:45:42,22,2.0
34,35,3059,3059,2014-10-22 01:45:14,2014-10-22 01:45:16,1,2.0
35,36,3191,3191,2014-10-22 06:52:37,2014-10-22 06:52:39,6,2.0
36,37,3208,3208,2014-10-22 07:20:21,2014-10-22 07:20:23,7,2.0
37,38,3240,3240,2014-10-22 11:52:13,2014-10-22 11:52:15,11,2.0
38,39,3349,3349,2014-10-22 18:57:12,2014-10-22 18:57:14,18,2.0
39,40,3352,3467,2014-10-22 19:54:35,2014-10-22 20:04:01,19,566.0
40,41,3473,3520,2014-10-22 20:14:03,2014-10-22 20:17:53,20,230.0
41,42,3570,3697,2014-10-22 21:58:04,2014-10-22 22:09:47,21,703.0
42,43,3736,3736,2014-10-23 06:49:05,2014-10-23 06:49:07,6,2.0
43,44,3745,3745,2014-10-23 06:54:26,2014-10-23 06:54:28,6,2.0
44,45,3820,3821,2014-10-23 07:37:48,2014-10-23 07:37:52,7,4.0
45,46,3959,3963,2014-10-23 16:15:28,2014-10-23 16:17:07,16,99.0
46,47,4017,4085,2014-10-23 20:18:36,2014-10-23 20:24:51,20,375.0
47,48,4106,4124,2014-10-23 21:33:35,2014-10-23 21:34:53,21,78.0
48,49,4130,4188,2014-10-23 21:46:48,2014-10-23 21:50:58,21,250.0
49,50,4212,4310,2014-10-23 22:01:31,2014-10-23 22:09:11,22,460.0
50,51,4314,4314,2014-10-24 06:43:11,2014-10-24 06:43:13,6,2.0
51,52,4316,4316,2014-10-24 06:51:27,2014-10-24 06:51:29,6,2.0
52,53,4318,4318,2014-10-24 07:03:00,2014-10-24 07:03:02,7,2.0
53,54,4904,4971,2014-10-24 21:41:43,2014-10-24 21:48:00,21,377.0
54,55,4974,5121,2014-10-24 21:55:15,2014-10-24 22:05:53,21,638.0
55,56,5124,5159,2014-10-24 22:19:25,2014-10-24 22:22:14,22,169.0
56,57,6218,6218,2014-10-25 13:04:07,2014-10-25 13:04:09,13,2.0
57,58,6237,6396,2014-10-25 15:45:02,2014-10-25 15:55:10,15,608.0
58,59,6450,6551,2014-10-25 16:47:44,2014-10-25 16:55:27,16,463.0
59,60,6626,6700,2014-10-25 19:33:39,2014-10-25 19:40:01,19,382.0
60,61,6719,6771,2014-10-25 20:40:09,2014-10-25 20:44:06,20,237.0
61,62,6785,6882,2014-10-25 21:52:26,2014-10-25 22:00:03,21,457.0
62,63,6885,6885,2014-10-25 22:32:23,2014-10-25 22:32:25,22,2.0
63,64,6887,6887,2014-10-25 22:40:03,2014-10-25 22:40:05,22,2.0
64,65,7356,7476,2014-10-26 16:33:15,2014-10-26 16:43:03,16,588.0
65,66,7481,7489,2014-10-26 16:50:23,2014-10-26 16:51:01,16,38.0
66,67,7498,7498,2014-10-26 19:06:30,2014-10-26 19:06:32,19,2.0
67,68,7607,7702,2014-10-26 20:36:33,2014-10-26 20:43:55,20,442.0
68,69,7717,7888,2014-10-26 21:27:32,2014-10-26 21:45:02,21,1050.0
69,70,7891,7891,2014-10-26 22:02:26,2014-10-26 22:02:28,22,2.0
70,71,7921,7934,2014-10-26 23:00:47,2014-10-26 23:01:32,23,45.0
71,72,8556,8567,2014-10-27 16:38:54,2014-10-27 16:39:36,16,42.0
72,73,8571,8571,2014-10-27 19:05:04,2014-10-27 19:05:06,19,2.0
73,74,8617,8778,2014-10-27 20:10:14,2014-10-27 20:20:32,20,618.0
74,75,8823,8870,2014-10-27 20:45:21,2014-10-27 20:49:51,20,270.0
75,76,8891,8986,2014-10-27 21:59:04,2014-10-27 22:07:27,21,503.0
76,77,9059,9059,2014-10-28 06:55:51,2014-10-28 06:55:53,6,2.0
77,78,9124,9124,2014-10-28 07:21:28,2014-10-28 07:21:30,7,2.0
78,79,9129,9141,2014-10-28 08:58:39,2014-10-28 08:59:43,8,64.0
79,80,9275,9333,2014-10-29 19:53:03,2014-10-29 19:59:57,19,414.0
80,81,9342,9393,2014-10-29 20:37:48,2014-10-29 20:41:40,20,232.0
81,82,9422,9503,2014-10-29 22:05:40,2014-10-29 22:14:11,22,511.0
82,83,9506,9508,2014-10-29 22:20:06,2014-10-29 22:23:24,22,198.0
83,84,9625,9625,2014-10-30 07:00:32,2014-10-30 07:00:34,7,2.0
84,85,9627,9627,2014-10-30 07:12:55,2014-10-30 07:12:57,7,2.0
85,86,9630,9632,2014-10-30 08:11:00,2014-10-30 08:11:23,8,23.0
86,87,9835,9974,2014-10-30 17:13:39,2014-10-30 17:25:30,17,711.0
87,88,9993,10089,2014-10-30 17:34:43,2014-10-30 17:40:21,17,338.0
88,89,10202,10202,2014-10-30 19:04:28,2014-10-30 19:04:30,19,2.0
89,90,10214,10214,2014-10-30 19:09:47,2014-10-30 19:09:49,19,2.0
90,91,10218,10218,2014-10-30 20:14:04,2014-10-30 20:14:06,20,2.0
91,92,10241,10312,2014-10-30 20:21:58,2014-10-30 20:27:48,20,350.0
92,93,10330,10366,2014-10-30 21:31:14,2014-10-30 21:34:25,21,191.0
93,94,10376,10510,2014-10-30 21:59:33,2014-10-30 22:13:25,21,832.0
94,95,10512,10519,2014-10-30 22:25:12,2014-10-30 22:25:54,22,42.0
95,96,10523,10525,2014-10-31 07:01:45,2014-10-31 07:04:32,7,167.0
96,97,10527,10527,2014-10-31 07:50:08,2014-10-31 07:50:10,7,2.0
97,98,10530,10533,2014-10-31 11:12:31,2014-10-31 11:12:41,11,10.0
98,99,10535,10540,2014-10-31 12:45:36,2014-10-31 12:46:09,12,33.0
99,100,10600,10709,2014-10-31 19:40:34,2014-10-31 19:48:52,19,498.0
100,101,10721,10786,2014-10-31 20:35:36,2014-10-31 20:40:30,20,294.0
101,102,10792,10918,2014-10-31 22:07:12,2014-10-31 22:16:09,22,537.0
102,103,11164,11164,2014-11-01 06:56:06,2014-11-01 06:56:08,6,2.0
103,104,11166,11166,2014-11-01 07:04:41,2014-11-01 07:04:43,7,2.0
104,105,11169,11169,2014-11-01 07:13:18,2014-11-01 07:13:20,7,2.0
105,106,11209,11320,2014-11-01 15:59:13,2014-11-01 16:07:34,15,501.0
106,107,11383,11470,2014-11-01 17:25:04,2014-11-01 17:32:22,17,438.0
107,108,11491,11566,2014-11-01 18:26:53,2014-11-01 18:31:46,18,293.0
108,109,11658,11658,2014-11-01 22:11:11,2014-11-01 22:11:13,22,2.0
109,110,11660,11843,2014-11-01 22:26:07,2014-11-01 22:40:15,22,848.0
110,111,12143,12358,2014-11-02 17:30:38,2014-11-02 17:47:29,17,1011.0
111,112,12414,12421,2014-11-02 18:09:40,2014-11-02 18:11:41,18,121.0
112,113,12429,12445,2014-11-02 19:04:48,2014-11-02 19:07:36,19,168.0
113,114,12490,12593,2014-11-02 23:17:32,2014-11-02 23:29:05,23,693.0
114,115,12721,12726,2014-11-03 08:59:46,2014-11-03 09:00:35,8,49.0
115,116,12790,12790,2014-11-03 13:42:10,2014-11-03 13:42:12,13,2.0
116,117,12891,13198,2014-11-03 22:02:02,2014-11-03 22:25:54,22,1432.0
117,118,13221,13265,2014-11-03 22:41:55,2014-11-03 22:45:33,22,218.0
118,119,13268,13289,2014-11-03 22:50:49,2014-11-03 22:55:19,22,270.0
119,120,13561,13561,2014-11-04 19:36:20,2014-11-04 19:36:22,19,2.0
120,121,13614,13640,2014-11-04 21:03:53,2014-11-04 21:05:46,21,113.0
121,122,13645,13725,2014-11-04 21:19:52,2014-11-04 21:25:33,21,341.0
122,123,13731,13905,2014-11-04 21:35:25,2014-11-04 21:51:16,21,951.0
123,124,13910,13910,2014-11-04 21:57:33,2014-11-04 21:57:35,21,2.0
124,125,13957,13961,2014-11-04 23:38:58,2014-11-04 23:39:11,23,13.0
125,126,14084,14237,2014-11-05 15:01:38,2014-11-05 15:15:01,15,803.0
126,127,14271,14439,2014-11-05 15:26:26,2014-11-05 15:37:00,15,634.0
127,128,14548,14548,2014-11-05 19:04:42,2014-11-05 19:04:44,19,2.0
128,129,14550,14550,2014-11-05 19:09:45,2014-11-05 19:09:47,19,2.0
129,130,14559,14559,2014-11-05 19:51:29,2014-11-05 19:51:31,19,2.0
130,131,14590,14686,2014-11-05 20:09:11,2014-11-05 20:15:09,20,358.0
131,132,14710,14710,2014-11-05 20:36:49,2014-11-05 20:36:51,20,2.0
132,133,14712,14826,2014-11-05 21:35:45,2014-11-05 21:45:41,21,596.0
133,134,15308,15308,2014-11-06 19:48:49,2014-11-06 19:48:51,19,2.0
134,135,15327,15327,2014-11-06 20:25:54,2014-11-06 20:25:56,20,2.0
135,136,15379,15387,2014-11-06 20:41:16,2014-11-06 20:41:40,20,24.0
136,137,15396,15408,2014-11-06 20:47:01,2014-11-06 20:47:54,20,53.0
137,138,15418,15473,2014-11-06 21:14:01,2014-11-06 21:17:47,21,226.0
138,139,15489,15687,2014-11-06 21:35:27,2014-11-06 21:52:41,21,1034.0
139,140,15706,15708,2014-11-06 21:58:51,2014-11-06 21:59:03,21,12.0
140,141,15860,15863,2014-11-07 08:06:22,2014-11-07 08:06:34,8,12.0
141,142,15885,15886,2014-11-07 10:35:55,2014-11-07 10:35:59,10,4.0
142,143,16062,16163,2014-11-07 20:44:22,2014-11-07 20:54:54,20,632.0
143,144,16166,16172,2014-11-07 21:00:54,2014-11-07 21:01:22,21,28.0
144,145,16187,16236,2014-11-07 21:08:02,2014-11-07 21:18:08,21,606.0
145,146,16238,16365,2014-11-07 21:47:02,2014-11-07 21:59:01,21,719.0
146,147,16533,16554,2014-11-08 08:01:05,2014-11-08 08:02:42,8,97.0
147,148,16564,16564,2014-11-08 08:23:05,2014-11-08 08:23:07,8,2.0
148,149,16566,16582,2014-11-08 08:46:21,2014-11-08 08:49:17,8,176.0
149,150,16633,16633,2014-11-08 11:47:35,2014-11-08 11:47:37,11,2.0
150,151,16635,16635,2014-11-08 12:15:36,2014-11-08 12:15:38,12,2.0
151,152,16746,16746,2014-11-08 18:53:28,2014-11-08 18:53:30,18,2.0
152,153,16748,16753,2014-11-08 20:08:24,2014-11-08 20:08:40,20,16.0
153,154,16789,16901,2014-11-08 22:05:49,2014-11-08 22:14:03,22,494.0
154,155,16952,17048,2014-11-08 22:36:26,2014-11-08 22:50:05,22,819.0
155,156,17213,17227,2014-11-09 07:38:03,2014-11-09 07:40:40,7,157.0
156,157,17277,17277,2014-11-09 07:51:59,2014-11-09 07:52:01,7,2.0
157,158,17508,17540,2014-11-09 21:06:23,2014-11-09 21:08:23,21,120.0
158,159,17765,17765,2014-11-10 07:04:35,2014-11-10 07:04:37,7,2.0
159,160,17767,17768,2014-11-10 09:09:18,2014-11-10 09:09:22,9,4.0
160,161,17796,17797,2014-11-10 11:01:56,2014-11-10 11:02:00,11,4.0
161,162,17844,17847,2014-11-10 12:37:10,2014-11-10 12:37:26,12,16.0
162,163,17897,17897,2014-11-10 13:08:40,2014-11-10 13:08:42,13,2.0
163,164,17998,18142,2014-11-10 15:49:11,2014-11-10 16:01:14,15,723.0
164,165,18199,18325,2014-11-10 16:25:26,2014-11-10 16:36:12,16,646.0
165,166,18372,18372,2014-11-10 18:00:33,2014-11-10 18:00:35,18,2.0
166,167,18406,18453,2014-11-10 18:52:18,2014-11-10 19:03:17,18,659.0
167,168,18466,18471,2014-11-10 19:12:32,2014-11-10 19:12:52,19,20.0
168,169,18535,18653,2014-11-10 21:38:28,2014-11-10 21:51:09,21,761.0
169,170,18670,18745,2014-11-10 21:55:28,2014-11-10 22:00:47,21,319.0
170,171,18799,18799,2014-11-10 22:19:42,2014-11-10 22:19:44,22,2.0
171,172,18801,18801,2014-11-10 22:49:06,2014-11-10 22:49:08,22,2.0
